,Short,Full,HTTP,Free float [%]
0,06MAGNA,Magna Polonia S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=06MAGNA,"75,54"
1,08OCTAVA,Narodowy Fundusz Inwestycyjny Octava SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=08OCTAVA,"12,58"
2,11BIT,11 bit studios SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=11BIT,"84,68"
3,3RGAMES,3R Games SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=3RGAMES,"4,50%"
4,4FUNMEDIA,4fun Media SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=4FUNMEDIA,"27,62"
5,ABPL,AB SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ABPL,"35,09"
6,ACAUTOGAZ,AC SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ACAUTOGAZ,"58,24"
7,ACTION,ACTION SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ACTION,"59,55"
8,ADIUVO,Adiuvo Investment S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ADIUVO,"24,12"
9,AGORA,Agora SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AGORA,"49,81"
10,AGROTON,Agroton PLC,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AGROTON,"31,48"
11,AIGAMES,All In Games,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AIGAMES,"45,22"
12,AILLERON,Ailleron SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AILLERON,"47,41"
13,AIRWAY,Airway Medix S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AIRWAY,"49,46"
14,ALIOR,Alior Bank SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALIOR,"51,85"
15,ALLEGRO,Allegro.eu SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALLEGRO,"9,29%"
16,ALTA,Alta S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALTA,"35,99"
17,ALTUSTFI,Altus TFI S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALTUSTFI,"27,68"
18,ALUMETAL,Alumetal S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ALUMETAL,"33,82"
19,AMBRA,AMBRA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMBRA,"28,92"
20,AMICA,Amica Wronki SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMICA,"42,96"
21,AMPLI,AMPLI SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMPLI,"59,33"
22,AMREST,AmRest Holdings SE,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AMREST,"27,53"
23,ANSWEAR,ANSWEAR.COM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ANSWEAR,"18,74"
24,APATOR,APATOR SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APATOR,"66,36"
25,APLISENS,Aplisens SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APLISENS,"31,16"
26,APSENERGY,APS Energia S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=APSENERGY,"10,15"
27,ARCHICOM,Archicom S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCHICOM,"13,47"
28,ARCTIC,Arctic Paper SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCTIC,"32,74"
29,ARCUS,Arcus SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARCUS,"30,67"
30,ARTERIA,Arteria SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARTERIA,"23,03"
31,ARTIFEX,Artifex Mundi SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ARTIFEX,"18,36"
32,ASBIS,ASBISc Enterprises PLC,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASBIS,"63,17"
33,ASMGROUP,ASM Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASMGROUP,"15,61"
34,ASSECOBS,Asseco Business Solutions SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOBS,"30,88"
35,ASSECOPOL,Asseco Poland SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOPOL,"49,78"
36,ASSECOSEE,Asseco South Eastern Europe SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASSECOSEE,"30,43"
37,ASTARTA,Astarta Holding NV,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ASTARTA,"9,15%"
38,ATAL,Atal S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATAL,"16,79"
39,ATENDE,Atende SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATENDE,"40,69"
40,ATLANTAPL,Atlanta Poland SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLANTAPL,"23,42"
41,ATLANTIS,Atlantis SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLANTIS,"39,86"
42,ATLASEST,Atlas Estates LTD,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATLASEST,"7,04%"
43,ATM,ATM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATM,"0,00%"
44,ATMGRUPA,ATM Grupa SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATMGRUPA,"25,54"
45,ATREM,Atrem SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ATREM,"28,44"
46,AUGA,Auga Group AB,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AUGA,"20,91"
47,AUTOPARTN,Auto Partner SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AUTOPARTN,"25,01"
