,Short,Full,HTTP,Free float [%]
48,AWBUD,AWBUD SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=AWBUD,"0,00%"
49,BAHOLDING,British Automotive Holding,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BAHOLDING,"53,99"
50,BALTONA,Przedsiębiorstwo Handlu Zagranicznego Baltona SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BALTONA,"0,00%"
51,BBIDEV,BBI Development S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BBIDEV,"61,05"
52,BEDZIN,Elektrociepłownia Będzin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BEDZIN,"28,99"
53,BENEFIT,Benefit Systems SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BENEFIT,"23,44"
54,BERLING,Berling SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BERLING,"26,42"
55,BEST,BEST SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BEST,"6,36%"
56,BETACOM,Betacom SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BETACOM,"26,06"
57,BIK,Biuro Inwestycji Kapitałowych SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIK,"0,00%"
58,BIOMEDLUB,BIOMED-LUBLIN Wytwórnia Surowic i Szczepionek SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIOMEDLUB,"60,51"
59,BIOTON,BIOTON SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BIOTON,"16,25"
60,BNPPPL,BNP Paribas Bank Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BNPPPL,"11,30"
61,BOGDANKA,Lubelski Węgiel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOGDANKA,"34,01"
62,BOOMBIT,BoomBit SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOOMBIT,"14,67"
63,BORYSZEW,Boryszew SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BORYSZEW,"47,55"
64,BOS,Bank Ochrony Środowiska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOS,"27,80"
65,BOWIM,Bowim SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BOWIM,"29,87"
66,BRAND24,Brand24,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BRAND24,"37,93"
67,BRASTER,Braster S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BRASTER,100%<
68,BSCDRUK,BSC Drukarnia Opakowań SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BSCDRUK,"0,00%"
69,BUDIMEX,Budimex SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BUDIMEX,"30,65"
70,BUMECH,Bumech SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=BUMECH,"35,17"
71,CAPITAL,Capital Partners SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CAPITAL,"56,05"
72,CAPTORTX,Captor Therapeutics,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CAPTORTX,"57,44"
73,CAPTORTX-PDA,CAPTOR THERAPEUTICS-PDA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CAPTORTX-PDA,100%<
74,CCC,CCC S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CCC,"53,18"
75,CCENERGY,Clean & Carbon Energy SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CCENERGY,"35,30"
76,CDPROJEKT,CD Projekt SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CDPROJEKT,"70,05"
77,CDRL,CDRL S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CDRL,"17,35"
78,CELTIC,Celtic Property Developments SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CELTIC,"42,53"
79,CEZ,"ČEZ, AS",https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CEZ,"30,23"
80,CFI,CFI Holding S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CFI,"9,37%"
81,CIECH,Ciech SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CIECH,"35,60"
82,CIGAMES,CI Games S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CIGAMES,"62,39"
83,CITYSERV,City Service SE,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CITYSERV,"15,17"
84,CLNPHARMA,Celon Pharma SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CLNPHARMA,"33,33"
85,CNT,Centrum Nowoczesnych Technologii SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CNT,"24,86"
86,COALENERG,Coal Energy SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COALENERG,"25,00"
87,COGNOR,Cognor SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COGNOR,"29,94"
88,COMARCH,Comarch SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMARCH,"44,30"
89,COMP,Comp S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMP,"22,32"
90,COMPERIA,Comperia.pl,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=COMPERIA,"27,07"
91,CORMAY,PZ Cormay SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CORMAY,"81,00"
92,CPGROUP,Capital Park S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CPGROUP,"8,75%"
93,CREEPYJAR,Creepy Jar,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CREEPYJAR,"38,52"
94,CYFRPLSAT,Cyfrowy Polsat SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CYFRPLSAT,"41,74"
95,CZTOREBKA,Czerwona Torebka SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=CZTOREBKA,"9,96%"
96,DADELO,DADELO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DADELO,"34,38"
97,DATAWALK,DataWalk SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DATAWALK,"58,25"
98,DEBICA,Firma Oponiarska Dębica SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEBICA,"12,75"
99,DECORA,Decora SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DECORA,"16,48"
100,DEKPOL,Dekpol S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEKPOL,"14,74"
101,DELKO,Delko SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DELKO,"43,99"
102,DEVELIA,Develia SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DEVELIA,"41,97"
103,DGA,DGA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DGA,"54,00"
104,DIGITREE,Digitree Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DIGITREE,"17,36"
105,DINOPL,Dino Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DINOPL,"49,00"
106,DOMDEV,Dom Development SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DOMDEV,"25,96"
107,DROP,Drop SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DROP,"15,09"
108,DROZAPOL,Drozapol-Profil SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=DROZAPOL,"35,91"
109,ECHO,Echo Investment SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ECHO,"10,65"
110,EDINVEST,ED Invest SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EDINVEST,"30,08"
111,EFEKT,Korporacja Gospodarcza &#8222;efekt&#8221; SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EFEKT,"38,85"
112,EKOEXPORT,Eko Export SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EKOEXPORT,"71,94"
113,ELBUDOWA,ELEKTROBUDOWA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELBUDOWA,"93,74"
114,ELEKTROTI,Elektrotim SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELEKTROTI,"44,96"
115,ELEMENTAL,Elemental Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELEMENTAL,"0,00%"
116,ELKOP,Przedsiębiorstwo Elektromontażowe ELKOP SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELKOP,"50,00"
117,ELZAB,Zakłady Urządzeń Komputerowych ELZAB SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ELZAB,"19,07"
118,EMCINSMED,EMC Instytut Medyczny SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EMCINSMED,"1,05%"
119,ENAP,ENERGOAPARATURA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENAP,"30,24"
120,ENEA,ENEA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENEA,"48,50"
121,ENELMED,Centrum Medyczne ENEL-MED SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENELMED,"-3,50"
122,ENERGA,Energa S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENERGA,"9,08%"
123,ENERGOINS,Energoinstal SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENERGOINS,"27,36"
124,ENTER,Enter Air SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ENTER,"18,71"
125,ERBUD,Erbud SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ERBUD,"16,20"
126,ERG,ERG SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ERG,"56,99"
127,ESOTIQ,Esotiq & Henderson SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ESOTIQ,"51,44"
128,EUCO,Europejskie Centrum Odszkodowań SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUCO,"35,84"
129,EUROCASH,Eurocash SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROCASH,"56,44"
130,EUROHOLD,EUROHOLD BULGARIA AD,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROHOLD,"10,06"
131,EUROTEL,Eurotel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=EUROTEL,"28,37"
132,FAMUR,Famur SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FAMUR,"32,29"
133,FASING,Fabryka Sprzętu i Narzędzi Górniczych Grupa Kapitałowa FASING SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FASING,"39,89"
134,FASTFIN,Fast Finance SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FASTFIN,"18,74"
135,FEERUM,Feerum S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FEERUM,"13,08"
136,FERRO,FERRO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FERRO,"12,59"
137,FERRUM,Ferrum SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FERRUM,"5,77%"
138,FMG,Financial Assets Management Group SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FMG,"47,92"
139,FON,FON SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FON,"64,53"
140,FORTE,Fabryka Mebli Forte SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=FORTE,"29,26"
141,GAMEOPS,Games Operators SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMEOPS,"20,56"
142,GAMFACTOR,GAMING FACTORY,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMFACTOR,"43,53"
143,GAMFACTOR-PDA,GAMING FACTORY PDA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GAMFACTOR-PDA,100%<
144,GETIN,Getin Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GETIN,"45,03"
145,GETINOBLE,Getin Noble Bank SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GETINOBLE,"37,32"
146,GLCOSMED,Global Cosmed S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GLCOSMED,"12,27"
147,GOBARTO,Gobarto SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GOBARTO,"13,57"
148,GPW,Giełda Papierów Wartościowych w Warszawie SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GPW,"65,00"
149,GROCLIN,Inter Groclin Auto SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GROCLIN,"63,70"
150,GRODNO,GRODNO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GRODNO,"34,21"
151,GRUPAAZOTY,Grupa Azoty SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GRUPAAZOTY,"33,03"
152,GTC,Globe Trade Centre SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=GTC,"15,70"
153,HANDLOWY,Bank Handlowy w Warszawie SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HANDLOWY,"25,00"
154,HARPER,Harper Hygienic SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HARPER,"34,00"
155,HELIO,Helio SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HELIO,"17,86"
156,HERKULES,HERKULES SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HERKULES,"42,03"
157,HMINWEST,HM Inwest S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HMINWEST,"2,30%"
158,HUUUGE-S144,HUUUGE INC.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HUUUGE-S144,"46,25"
159,HYDROTOR,Przedsiębiorstwo Hydrauliki Siłowej Hydrotor SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=HYDROTOR,"49,42"
160,I2DEV,i2 Development SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=I2DEV,"13,82"
161,IBSM,IBSM S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IBSM,"11,00"
162,IDEABANK,Idea Bank,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IDEABANK,"25,60"
163,IDMSA,IDM S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IDMSA,"72,24"
164,IFCAPITAL,INVESTMENT FRIENDS CAPITAL SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFCAPITAL,"31,75"
165,IFIRMA,IFIRMA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFIRMA,"53,14"
166,IFSA,Investment Friends S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IFSA,"30,25"
167,IIAAV,Immofinanz AG,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IIAAV,"75,01"
168,IMCOMPANY,Industrial Milk Company SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMCOMPANY,"20,14"
169,IMMOBILE,Grupa Kapitałowa Immobile S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMMOBILE,"13,73"
170,IMPEL,Impel SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMPEL,"0,00%"
171,IMPERIO,Imperio Alternatywna Spółka Inwestycyjna SA ,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMPERIO,"32,64"
172,IMS,IMS SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IMS,"26,76"
173,INC,INC S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INC,"75,60"
174,INGBSK,ING Bank Śląski SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INGBSK,"16,60"
175,INPRO,INPRO SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INPRO,"12,98"
176,INSTALKRK,Instal Kraków SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INSTALKRK,"56,20"
177,INTERAOLT,AB Inter Rao Lietuva,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERAOLT,"19,89"
178,INTERBUD,Interbud Lublin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERBUD,"32,27"
179,INTERCARS,Inter Cars SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERCARS,"33,23"
180,INTERFERI,INTERFERIE SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERFERI,"15,91"
181,INTERSPPL,INTERSPORT Polska SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTERSPPL,"25,63"
182,INTROL,Introl SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INTROL,"15,28"
183,INVISTA,INVISTA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=INVISTA,"26,85"
184,IPOPEMA,IPOPEMA Securities SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IPOPEMA,"32,63"
185,ITMTRADE,Interma Trade S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=ITMTRADE,"66,50"
186,IZOBLOK,IZOBLOK SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOBLOK,"26,48"
187,IZOLACJA,Izolacja-Jarocin SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOLACJA,"37,43"
188,IZOSTAL,Izostal SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=IZOSTAL,"39,72"
189,JSW,Jastrzębska Spółka Węglowa SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JSW,"44,83"
190,JWCONSTR,J.W. Construction Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JWCONSTR,"0,00%"
191,JWWINVEST,JWW Invest S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=JWWINVEST,"6,43%"
192,K2HOLDING,K2 Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=K2HOLDING,"27,22"
193,KBDOM,KORPORACJA BUDOWLANA DOM SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KBDOM,"13,62"
194,KCI,KCI SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KCI,"32,15"
195,KERNEL,Kernel Holding SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KERNEL,"60,84"
196,KETY,Grupa Kęty SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KETY,"39,34"
197,KGHM,KGHM Polska Miedź SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KGHM,"55,60"
198,KGL,Korporacja KGL SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KGL,"7,64%"
199,KINOPOL,Kino Polska TV SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KINOPOL,"20,15"
200,KOGENERA,Zespół Elektrociepłowni Wrocławskich KOGENERACJA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOGENERA,"12,53"
201,KOMPAP,Przedsiębiorstwo Produkcyjno Handlowe Kompap SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOMPAP,"9,59%"
202,KOMPUTRON,Komputronik SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KOMPUTRON,"43,18"
203,KPPD,Koszalińskie Przedsiębiorstwo Przemysłu Drzewnego SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KPPD,"11,46"
204,KRAKCHEM,Krakchemia SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRAKCHEM,"34,18"
205,KREC,Krynicki Recykling SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KREC,"38,49"
206,KREDYTIN,Kredyt Inkaso SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KREDYTIN,"5,42%"
207,KRKA,Krka d.d.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRKA,"62,81"
208,KRUK,Kruk SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRUK,"47,36"
209,KRUSZWICA,Zakłady Tłuszczowe Kruszwica SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRUSZWICA,"0,00%"
210,KRVITAMIN,Krynica Vitamin S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KRVITAMIN,"14,12"
211,KSGAGRO,KSG Agro SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=KSGAGRO,"34,75"
212,LABOPRINT,Labo Print S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LABOPRINT,"8,48%"
213,LARQ,Larq S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LARQ,"46,78"
214,LENA,Lena Lighting SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LENA,"22,67"
215,LENTEX,Lentex SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LENTEX,"23,81"
216,LIBET,LIBET S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LIBET,"19,06"
217,LIVECHAT,Livechat Software S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LIVECHAT,"53,33"
218,LOKUM,Lokum Deweloper S.A.,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LOKUM,"15,57"
219,LOTOS,Grupa LOTOS SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LOTOS,"41,74"
220,LPP,LPP SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LPP,"56,62"
221,LSISOFT,LSI Software SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LSISOFT,"56,10"
222,LUBAWA,LUBAWA SA,https://www.bankier.pl/inwestowanie/profile/quote.html?symbol=LUBAWA,"52,35"
